"Activity ID","Name","Start","Finish","Duration","Trade/Area","Predicted Location","Predicted Trade Name"
"PRO-026891","GPS EYD2 GPS E-House-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 02 > 01","EYD2 Gen Yard",""
"PCN-1230","Offsite Pre-Fabrication Labor (S10)-Zilla Conveyance","2025-11-07","2025-11-07","200","UNO3A > 04 > 03 > 03 > 06","EYD1 USS Yard","Conveyance"
"PCN-1245","Offsite Pre-Fabrication Labor (S14)-Conveyance","2025-11-07","2025-11-07","200","UNO3A > 04 > 03 > 03 > 06","EYD1 USS Yard","Conveyance"
"PCN-1235","Offsite Pre-Fabrication Labor (S17)-SSS/GPS/USS","2025-11-07","2025-11-07","200","UNO3A > 04 > 03 > 03 > 06","EYD1 USS Yard",""
"PRO-021953","Critical EY02 USSs-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 02 > 03","EYD1 USS Yard",""
"PRO-019316","EYD1 SSS A-House-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 01 > 02","EYD1 Gen Yard",""
"PRO-011953","Critical EY01 USSs-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 01 > 03","EYD1 USS Yard",""
"PRO-019357","EYD1-Deliver-MDA LV TX/USSs","2025-11-07","2025-11-07","8","UNO3A > 04 > 03 > 01","EYD1 Gen Yard",""
"PRO-029359","Deliver-Critical EY02 LV TX/USSs","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 02 > 03","EYD1 USS Yard",""
"PRO-029360","EYD2-Deliver-Critical LV SWGR/USSs","2025-11-07","2025-11-07","8","UNO3A > 04 > 03 > 01 > 02 > 03","EYD2 Gen Yard",""
"PRO-029353","MYD1-Deliver Zilla (Batt Skid-1 XFMR)","2025-11-07","2025-11-07","8","UNO3A > 04 > 03 > 01 > 02 > 07","MYD1 MCP",""
"PRO-029354","MYD2-Deliver Zilla (Batt Skid-2 XFMR)","2025-11-07","2025-11-07","8","UNO3A > 04 > 03 > 01 > 02 > 07","MYD2 MCP",""
"PRO-024608","Zilla USSs-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 02 > 07","EYD1 USS Yard",""
"PRO-024607","EYD2-Procure-S14-Supply Above Ground Cable Tray Structure","2025-11-07","2025-11-07","1360","UNO3A > 04 > 03 > 01","EYD2 Gen Yard","Electrical Yard Equipment Conduit"
"PRO-024604","EYD2-Procure-S18-Supply Electrical Low Voltage Cable","2025-11-07","2025-11-07","1464","UNO3A > 04 > 03 > 01","EYD2 Gen Yard",""
"PRO-024606","EYD2-Procure-S24-Supply Cable Tray/Supports","2025-11-07","2025-11-07","1048","UNO3A > 04 > 03 > 01","EYD2 Gen Yard","Electrical Yard Equipment Conduit"
"PRO-024605","EYD2-Procure-S24-Supply Electrical Low Voltage Cable","2025-11-07","2025-11-07","1240","UNO3A > 04 > 03 > 01","EYD2 Gen Yard",""
"PRO-011950","Place PO-Critical USSs","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","EYD1 USS Yard",""
"PRO-011951","EYD1-Lead Time-Critical USSs-RMU","2025-11-07","2025-11-07","1920","UNO3A > 04 > 03 > 01","EYD1 Gen Yard",""
"PRO-014630","GC Procure-Generator Control Cabling","2025-11-07","2025-11-07","1088","UNO3A > 04 > 03 > 03 > 05","EYD1 Gen Yard","Generator Placement"
"PRO-010920","Lead Time- EYD1 GPS E-House","2025-11-07","2025-11-07","1288","UNO3A > 04 > 03 > 01","EYD1 Gen Yard",""
"PRO-010919","Place PO for EYD1 GPS E-House","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","EYD1 Gen Yard",""
"PRO-019302","Lead Time-MDA USSs","2025-11-07","2025-11-07","1896","UNO3A > 04 > 03 > 01","EYD1 USS Yard",""
"PRO-019301","Place Inventory PO-MDA USSs","2025-11-07","2025-11-07","168","UNO3A > 04 > 03","EYD1 USS Yard",""
"CON-1990","EYD1-Gens SOG","2025-11-07","2025-11-07","16","UNO3A > 05 > 07 > 01 > 3","EYD1 Gen Yard","Generator Placement"
"CON-5370","EYD2-Gens SOG zone1 and 2","2025-11-07","2025-11-07","24","UNO3A > 05 > 07 > 02 > 3","EYD2 Gen Yard","Generator Placement"
"CON-5505","EYD1-MDA SOG","2025-11-07","2025-11-07","56","UNO3A > 05 > 07 > 01 > 2","EYD1 Gen Yard",""
"CON-5630","EYD1-MDA SOG.1","2025-11-07","2025-11-07","64","UNO3A > 05 > 07 > 01 > 2","EYD1 Gen Yard",""
"CON-4360","MYD2-Elect Ductbank-MUWT-2 TO CTB","2025-11-07","2025-11-07","56","UNO3A > 05 > 08 > 1 > 8 > 2","MYD2 MCP",""
"CON-1180","DCH1-Agg Piers-North","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 01","DCH1","Structural Piles"
"CON-1220","DCH1-Agg Piers-South","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 01","DCH1","Structural Piles"
"CON-1315","DCH2-Agg Piers-South","2025-11-07","2025-11-07","8","UNO3A > 05 > 04 > 01","DCH2","Structural Piles"
"CON-1265","DCH2-Agg Piers-North","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 01","DCH2","Structural Piles"
"CON-2165","EYD1-Drilled Piers SSS/GPS","2025-11-07","2025-11-07","208","UNO3A > 05 > 07 > 01 > 2","EYD1 Gen Yard","Structural Piles"
"CON-4805","EYD2-Drilled Piers SSS/GPS","2025-11-07","2025-11-07","48","UNO3A > 05 > 07 > 02 > 2","EYD2 Gen Yard","Structural Piles"
"CON-1210","DCH1-FRP Footings-Pour #02-FSA North/North","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 02 > 1","DCH1","Concrete Pour"
"CON-1225","DCH1-FRP Footings-Pour #03-North","2025-11-07","2025-11-07","8","UNO3A > 05 > 04 > 02 > 2","DCH1","Concrete Pour"
"CON-1245","DCH1-FRP Footings-Pour #04-1 North","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 02 > 2","DCH1","Concrete Pour"
